Nx_nodes= 41, Ny_nodes= 41
X	Y	U	V	P
6.750000e-01	1.750000e-01	-2.846437e-01	-1.480502e-01	-1.435623e-02
7.000000e-01	1.750000e-01	-2.622066e-01	-1.585691e-01	-1.242816e-02
7.250000e-01	1.750000e-01	-2.339445e-01	-1.617807e-01	-1.078408e-02
7.500000e-01	1.750000e-01	-2.000182e-01	-1.559967e-01	-9.532776e-03
7.750000e-01	1.750000e-01	-1.616151e-01	-1.403060e-01	-8.722643e-03
8.000000e-01	1.750000e-01	-1.212417e-01	-1.153333e-01	-8.326217e-03
8.250000e-01	1.750000e-01	-8.261939e-02	-8.384325e-02	-8.247152e-03
8.500000e-01	1.750000e-01	-4.982312e-02	-5.054112e-02	-8.353240e-03
8.750000e-01	1.750000e-01	-2.568682e-02	-2.059048e-02	-8.522086e-03
9.000000e-01	1.750000e-01	-1.055339e-02	2.320043e-03	-8.676237e-03
9.250000e-01	1.750000e-01	-2.711917e-03	1.656866e-02	-8.789002e-03
9.500000e-01	1.750000e-01	2.035943e-04	2.156610e-02	-8.861598e-03
9.750000e-01	1.750000e-01	4.463464e-04	1.652473e-02	-8.895336e-03
1.000000e+00	1.750000e-01	0.000000e+00	5.677431e-03	-9.785537e-03
0.000000e+00	2.000000e-01	0.000000e+00	2.989650e-03	6.528828e-04
2.500000e-02	2.000000e-01	-4.976366e-03	1.272452e-02	1.256938e-03
